Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.466: [GC (Allocation Failure) 0.466: [DefNew: 960K->63K(960K), 0.0012184 secs] 34914K->34237K(524224K), 0.0012425 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) 0.470: [DefNew: 959K->63K(960K), 0.0008834 secs] 35166K->34521K(524224K), 0.0009090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.475: [GC (Allocation Failure) 0.475: [DefNew: 959K->63K(960K), 0.0008644 secs] 35461K->34783K(524224K), 0.0008822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.477: [GC (Allocation Failure) 0.477: [DefNew: 959K->64K(960K), 0.0008269 secs] 35733K->35038K(524224K), 0.0008474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.481: [GC (Allocation Failure) 0.481: [DefNew: 960K->63K(960K), 0.0009347 secs] 35979K->35298K(524224K), 0.0009616 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.486: [GC (Allocation Failure) 0.486: [DefNew: 959K->63K(960K), 0.0011978 secs] 36232K->35602K(524224K), 0.0012476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.488: [GC (Allocation Failure) 0.488: [DefNew: 959K->63K(960K), 0.0012286 secs] 36534K->35888K(524224K), 0.0012990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.492: [GC (Allocation Failure) 0.492: [DefNew: 959K->64K(960K), 0.0010299 secs] 36818K->36175K(524224K), 0.0010734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.495: [GC (Allocation Failure) 0.495: [DefNew: 960K->63K(960K), 0.0009564 secs] 37114K->36455K(524224K), 0.0009952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.498: [GC (Allocation Failure) 0.498: [DefNew: 959K->63K(960K), 0.0015206 secs] 37382K->36767K(524224K), 0.0015783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.504: [GC (Allocation Failure) 0.504: [DefNew: 959K->63K(960K), 0.0011536 secs] 37685K->37116K(524224K), 0.0011915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.507: [GC (Allocation Failure) 0.507: [DefNew: 959K->64K(960K), 0.0009248 secs] 38058K->37385K(524224K), 0.0009501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.511: [GC (Allocation Failure) 0.511: [DefNew: 960K->64K(960K), 0.0008648 secs] 38324K->37655K(524224K), 0.0008885 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.515: [GC (Allocation Failure) 0.515: [DefNew: 960K->63K(960K), 0.0010031 secs] 38599K->37917K(524224K), 0.0010694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.518: [GC (Allocation Failure) 0.518: [DefNew: 959K->63K(960K), 0.0008786 secs] 38856K->38182K(524224K), 0.0009031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.522: [GC (Allocation Failure) 0.522: [DefNew: 959K->63K(960K), 0.0009280 secs] 39112K->38474K(524224K), 0.0009576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.526: [GC (Allocation Failure) 0.526: [DefNew: 959K->64K(960K), 0.0010276 secs] 39404K->38758K(524224K), 0.0010754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.529: [GC (Allocation Failure) 0.529: [DefNew: 960K->64K(960K), 0.0012519 secs] 39694K->39052K(524224K), 0.0012930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.533: [GC (Allocation Failure) 0.533: [DefNew: 960K->63K(960K), 0.0010193 secs] 39982K->39343K(524224K), 0.0010501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
